wav_path,duration,spectral_centroid,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
audio_samples/sample_0.wav,4.68,2315.3344731475086,0.09785378196022727,-351.7917,67.63672,16.511187,15.720872,-1.7092038,-3.1783495,-1.0760005,-2.382561,-9.314697,-4.417547,-8.99476,-1.9740745,-11.765512
audio_samples/sample_1.wav,4.872,2072.048053373844,0.08320611012554585,-363.7124,91.561134,9.6889925,7.537376,-5.8235593,-4.526024,2.3146377,-6.9611983,-9.740455,0.08217971,-9.270139,-1.1049473,-13.804489
audio_samples/sample_2.wav,4.992,2195.8803427354783,0.09098445811170212,-355.58783,84.18677,7.4155617,10.611239,-3.2130616,-6.088272,2.6125035,-3.3673787,-8.428923,-2.163189,-9.871792,-0.39379883,-11.680073
audio_samples/sample_3.wav,5.376,2123.1198233068626,0.09485780014822134,-348.4638,82.66961,11.316787,15.053916,-3.5834236,-3.6192482,-0.22948132,-6.783624,-8.957042,-4.4660473,-11.932338,-0.98243815,-11.173734
audio_samples/sample_4.wav,4.584,2369.8240007971417,0.11036291787790697,-344.55444,78.21575,4.6004024,4.5262966,-9.766725,-3.3268492,3.838918,-3.176211,-9.281594,-0.17257696,-7.346407,-2.0632904,-10.254769
audio_samples/sample_5.wav,9.528,2184.725380390027,0.10643985074105146,-338.63504,78.79181,13.381341,19.762321,5.1565866,-4.641478,-4.1147213,-8.088878,-11.720317,-8.222763,-12.689065,-0.38067132,-13.538
audio_samples/sample_6.wav,10.152,2392.919424578414,0.11438090861344538,-336.90134,73.74337,13.481722,20.15999,-0.3450716,-4.620071,-3.0114172,-6.4909134,-9.961481,-4.6955247,-13.015785,-0.8709895,-11.51276
audio_samples/sample_7.wav,8.688,2180.2632853903365,0.09630868949142157,-341.5862,80.5978,5.63831,18.085632,1.246077,-5.297009,-0.94824445,-8.110932,-9.118396,-5.626217,-12.281724,-0.0077820574,-12.903354
audio_samples/sample_8.wav,9.816,2499.6153148598523,0.12510909537689804,-326.28995,70.54937,13.810363,18.336075,1.883507,-4.898628,-5.1390386,-6.258864,-9.54663,-6.385439,-13.369262,-0.60974026,-12.255382
audio_samples/sample_9.wav,10.056,2538.7317166176376,0.13385630462129236,-329.75696,63.735104,14.756592,15.900718,2.7427564,-4.5853977,-4.8887897,-7.5158634,-10.87002,-7.762019,-11.559666,-0.92435676,-11.529118
audio_samples/sample_10.wav,3.24,2188.351226800344,0.095947265625,-339.90662,77.91267,9.412338,16.075603,-3.864677,-3.917666,-0.5807238,-8.262548,-11.088956,-4.1540475,-7.7720127,2.1664722,-11.216273
audio_samples/sample_11.wav,2.808,1877.1709621373627,0.06620649857954546,-355.27698,88.06332,13.385166,15.921969,-5.547188,-7.35621,2.4884377,-8.948802,-13.619109,-2.9674494,-9.620529,-0.23464896,-10.032097
audio_samples/sample_12.wav,3.696,2205.001920597398,0.09027029454022989,-358.429,82.50062,4.838195,13.840037,-7.3992653,-5.6623163,2.9437683,-7.9007244,-9.399771,-4.3037024,-9.29098,1.737119,-10.906977
audio_samples/sample_13.wav,4.584,2435.200500932523,0.11716251816860465,-338.2647,68.84559,9.449466,18.974987,-1.0314652,-4.375765,-2.462187,-5.502097,-10.740149,-3.7979136,-11.121136,-0.47039354,-11.026272
audio_samples/sample_14.wav,4.584,3031.686248199829,0.1634220566860465,-338.78912,52.103477,15.99645,16.981321,-3.206671,-4.960071,-4.0978374,-3.3213236,-9.280257,-5.7922096,-10.767639,0.2776356,-7.196024
audio_samples/sample_15.wav,10.704,2429.838149682099,0.11443775678535857,-346.16785,69.26526,7.8360105,20.637785,2.8448977,-5.184736,-3.7515447,-7.1434355,-8.303176,-6.0376434,-11.739843,-0.22712351,-12.16172
audio_samples/sample_16.wav,10.176,2328.2846497735623,0.11185113755230125,-337.52078,75.5602,6.755769,19.764254,0.6387003,-5.921721,-0.63997185,-6.643245,-10.924212,-4.347126,-11.88617,-0.654123,-12.494323
audio_samples/sample_17.wav,10.296,2237.747645927784,0.10942150297619048,-330.3537,77.93157,13.506341,15.733002,2.5744388,-5.3099174,-2.2960036,-8.930805,-10.970376,-6.694985,-12.239647,-2.0395257,-12.405986
audio_samples/sample_18.wav,9.36,2342.867331343745,0.11128474693906606,-342.05014,73.158585,20.76727,18.13683,1.7654017,-4.600067,-2.6984987,-5.615956,-11.5266905,-7.737952,-12.790442,-0.68360764,-13.28376
audio_samples/sample_19.wav,12.288,2145.2772776189026,0.09877074983752167,-350.795,83.128654,9.504631,19.827442,3.22396,-6.99619,-1.0903392,-9.411681,-9.70678,-6.429873,-12.927168,0.79153204,-12.38495
audio_samples/sample_20.wav,5.136,2443.3772697865265,0.10574632066908714,-358.0303,65.552864,17.995024,17.835197,1.2837396,-4.4232564,-0.0988553,-6.113957,-9.794272,-7.3749614,-8.846004,-1.0584403,-10.055499
audio_samples/sample_21.wav,5.232,2491.135187734903,0.12300916222052846,-328.36304,66.71683,16.09486,19.727777,4.384885,-9.83445,-5.442583,-3.8980672,-11.533739,-8.758847,-12.865043,-0.5464295,-10.282247
audio_samples/sample_22.wav,4.632,2488.878735969097,0.1100043900516055,-364.06085,63.984753,12.411742,20.59371,2.7646132,-2.641205,-1.4589933,-4.709022,-8.242855,-3.8130312,-9.9126835,-0.20088935,-10.633126
audio_samples/sample_23.wav,5.712,2500.067556436541,0.11034974055503731,-359.9101,73.48458,16.641596,13.170422,0.33464214,-0.62913376,-2.748383,-6.308552,-9.483597,-4.2576566,-9.397863,2.2504747,-9.53539
audio_samples/sample_24.wav,4.44,2522.3841011487248,0.10999878513755981,-383.10342,64.32232,9.978204,20.399134,0.09492829,-7.630976,-0.81956184,-5.369601,-7.3504086,-4.8846517,-9.850446,0.64159834,-8.822556
audio_samples/sample_25.wav,12.24,2274.610853137304,0.10949494365200349,-338.41806,70.11905,13.760668,21.51179,5.7147098,-4.905598,-4.9643393,-6.823713,-8.926936,-6.728836,-12.069618,-2.842111,-12.124724
audio_samples/sample_26.wav,11.784,2361.0134433968133,0.11860378051537071,-338.49997,72.23265,17.664726,15.699148,2.3731236,-2.064403,-3.272309,-5.8105187,-9.848179,-5.14164,-10.915387,-1.5511385,-12.216373
audio_samples/sample_27.wav,11.808,2388.920378656336,0.11423665952166065,-328.31195,67.3723,10.697674,23.892057,1.831392,-3.7772684,-3.3064222,-6.6426215,-8.676996,-8.004511,-11.223745,-1.1490738,-11.542224
audio_samples/sample_28.wav,14.04,2454.594621783707,0.11634875284522003,-333.1818,66.43045,12.926552,21.087242,0.85519046,-4.0141354,-2.7865999,-5.5921354,-8.933871,-7.1158795,-10.618514,-0.88601726,-10.889589
audio_samples/sample_29.wav,14.736,2381.9523655938747,0.10950290000904486,-341.06628,65.50579,14.674931,23.41114,4.9929776,-3.9962358,-3.7244298,-5.541685,-8.754497,-7.5743995,-11.255033,-2.1299684,-11.10145
